2016-10-04 18:00:34.321650 nmap START
2016-10-04 18:00:36.718534 nmap END
2016-10-04 18:00:46.737130 reconnaissance 192.168.10.222 START
2016-10-04 18:00:50.798518 reconnaissance 192.168.10.222 END
2016-10-04 19:52:58.878390 master_hijacking_replay 192.168.10.221 192.168.10.222 START
2016-10-04 19:53:55.584662 master_hijacking_replay 192.168.10.221 192.168.10.222 END
2016-10-04 22:30:38.636689 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 START
2016-10-04 22:31:48.198590 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 END
2016-10-05 00:59:25.270455 slave_masquerading_flooding 192.168.10.221 192.168.10.222 START
2016-10-05 00:59:46.440882 slave_masquerading_flooding 192.168.10.221 192.168.10.222 END
2016-10-05 02:17:29.536154 injection_WarmRestart 192.168.10.221 192.168.10.222 START
2016-10-05 02:17:55.328854 injection_WarmRestart 192.168.10.221 192.168.10.222 END
2016-10-05 05:13:31.404827 slave_masquerading_ObjectSpoofBinary 192.168.10.221 192.168.10.222 START
2016-10-05 05:14:34.633222 slave_masquerading_ObjectSpoofBinary 192.168.10.221 192.168.10.222 END
2016-10-05 07:29:16.704066 injection_replay 192.168.10.221 192.168.10.222 START
2016-10-05 07:29:21.160915 injection_replay 192.168.10.221 192.168.10.222 END
2016-10-05 09:29:03.251079 MITM_modification_CountBinaryInputPointInsert 192.168.10.221 192.168.10.222 START
2016-10-05 09:30:20.461066 MITM_modification_CountBinaryInputPointInsert 192.168.10.221 192.168.10.222 END
2016-10-05 11:52:56.550730 slave_masquerading_ObjectSpoofBinary 192.168.10.221 192.168.10.222 START
2016-10-05 11:53:38.781735 slave_masquerading_ObjectSpoofBinary 192.168.10.221 192.168.10.222 END
2016-10-05 14:17:32.878469 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 START
2016-10-05 14:18:09.159563 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 END
2016-10-05 16:49:32.025407 nmap START
2016-10-05 16:49:34.509864 nmap END
2016-10-05 16:49:44.522261 reconnaissance 192.168.10.222 START
2016-10-05 16:49:48.592851 reconnaissance 192.168.10.222 END
2016-10-05 17:03:26.645675 master_hijacking_replay 192.168.10.221 192.168.10.222 START
2016-10-05 17:04:35.120772 master_hijacking_replay 192.168.10.221 192.168.10.222 END
2016-10-05 17:32:42.167885 master_hijacking_replay 192.168.10.221 192.168.10.222 START
2016-10-05 17:33:54.332845 master_hijacking_replay 192.168.10.221 192.168.10.222 END
2016-10-05 17:53:32.422462 injection_push 192.168.10.221 192.168.10.222 START
2016-10-05 17:53:56.796779 injection_push 192.168.10.221 192.168.10.222 END
2016-10-05 18:20:20.894960 master_replay_flooding 192.168.10.221 192.168.10.222 START
2016-10-05 18:20:40.069882 master_replay_flooding 192.168.10.221 192.168.10.222 END
2016-10-05 18:40:21.137425 MITM_modification_BinaryInputPointDelete 192.168.10.221 192.168.10.222 START
2016-10-05 18:41:33.185528 MITM_modification_BinaryInputPointDelete 192.168.10.221 192.168.10.222 END
2016-10-05 19:00:52.242867 injection_ColdRestart 192.168.10.221 192.168.10.222 START
2016-10-05 19:02:11.504866 injection_ColdRestart 192.168.10.221 192.168.10.222 END
2016-10-05 19:29:20.602412 master_hijacking_replay 192.168.10.221 192.168.10.222 START
2016-10-05 19:30:30.040801 master_hijacking_replay 192.168.10.221 192.168.10.222 END
2016-10-05 19:49:38.109529 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-10-05 19:50:52.986056 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
2016-10-05 20:13:00.086230 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-10-05 20:14:19.823149 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
2016-10-05 20:37:24.917303 slave_masquerading_flooding 192.168.10.221 192.168.10.222 START
2016-10-05 20:37:40.652217 slave_masquerading_flooding 192.168.10.221 192.168.10.222 END
2016-10-05 20:50:26.745171 MITM_hijack_injection 192.168.10.221 192.168.10.222 START
2016-10-05 20:50:57.478777 MITM_hijack_injection 192.168.10.221 192.168.10.222 END
2016-10-05 21:09:14.553510 master_hijacking_masquerading 192.168.10.221 192.168.10.222 START
2016-10-05 21:10:27.488852 master_hijacking_masquerading 192.168.10.221 192.168.10.222 END
2016-10-05 21:27:50.532262 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 START
2016-10-05 21:28:23.267128 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 END
2016-10-05 21:53:46.367311 injection_WarmRestart 192.168.10.221 192.168.10.222 START
2016-10-05 21:55:07.352779 injection_WarmRestart 192.168.10.221 192.168.10.222 END
2016-10-05 22:06:54.354150 master_masquerading 192.168.10.221 192.168.10.222 START
2016-10-05 22:08:10.403027 master_masquerading 192.168.10.221 192.168.10.222 END
2016-10-05 22:28:45.485508 injection_ColdRestart 192.168.10.221 192.168.10.222 START
2016-10-05 22:30:01.912892 injection_ColdRestart 192.168.10.221 192.168.10.222 END
2016-10-05 22:46:01.011560 slave_masquerading 192.168.10.221 192.168.10.222 START
2016-10-05 22:46:20.365098 slave_masquerading 192.168.10.221 192.168.10.222 END
2016-10-05 23:06:26.421655 slave_masquerading_ObjectSpoofCounter 192.168.10.221 192.168.10.222 START
2016-10-05 23:06:59.616194 slave_masquerading_ObjectSpoofCounter 192.168.10.221 192.168.10.222 END
2016-10-05 23:28:45.715803 slave_masquerading 192.168.10.221 192.168.10.222 START
2016-10-05 23:29:03.875519 slave_masquerading 192.168.10.221 192.168.10.222 END
2016-10-05 23:41:25.974187 MITM_forwarding 192.168.10.221 192.168.10.222 START
2016-10-05 23:41:48.177020 MITM_forwarding 192.168.10.221 192.168.10.222 END
2016-10-06 00:01:28.274055 MITM_modification_CountBinaryInputPointInsert 192.168.10.221 192.168.10.222 START
2016-10-06 00:02:42.513251 MITM_modification_CountBinaryInputPointInsert 192.168.10.221 192.168.10.222 END
2016-10-06 00:26:30.544698 MITM_modification_BinaryInputDataDelete 192.168.10.221 192.168.10.222 START
2016-10-06 00:27:51.158657 MITM_modification_BinaryInputDataDelete 192.168.10.221 192.168.10.222 END
2016-10-06 00:41:15.229817 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 START
2016-10-06 00:42:29.716541 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 END
2016-10-06 00:54:36.816739 injection_FreezeObj 192.168.10.221 192.168.10.222 START
2016-10-06 00:54:54.772742 injection_FreezeObj 192.168.10.221 192.168.10.222 END
2016-10-06 01:24:16.792711 MITM_modification_BinaryInputDataDelete 192.168.10.221 192.168.10.222 START
2016-10-06 01:25:32.290952 MITM_modification_BinaryInputDataDelete 192.168.10.221 192.168.10.222 END
2016-10-06 01:48:02.391230 injection_push 192.168.10.221 192.168.10.222 START
2016-10-06 01:48:30.561099 injection_push 192.168.10.221 192.168.10.222 END
2016-10-06 02:14:57.626498 master_flooding_time 192.168.10.221 192.168.10.222 START
2016-10-06 02:16:01.705048 master_flooding_time 192.168.10.221 192.168.10.222 END
2016-10-06 02:42:13.720666 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.221 192.168.10.222 START
2016-10-06 02:42:33.057620 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.221 192.168.10.222 END
2016-10-06 03:02:27.118684 master_flooding_freeze 192.168.10.221 192.168.10.222 START
2016-10-06 03:03:31.235637 master_flooding_freeze 192.168.10.221 192.168.10.222 END
2016-10-06 03:15:26.335909 injection_WarmRestart 192.168.10.221 192.168.10.222 START
2016-10-06 03:16:44.096776 injection_WarmRestart 192.168.10.221 192.168.10.222 END
2016-10-06 03:32:18.197186 MITM_hijack_injection 192.168.10.221 192.168.10.222 START
2016-10-06 03:32:46.175793 MITM_hijack_injection 192.168.10.221 192.168.10.222 END
2016-10-06 03:43:17.269230 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-10-06 03:44:33.668364 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
2016-10-06 04:07:08.757953 MITM_modification_BinaryInputPointDelete 192.168.10.221 192.168.10.222 START
2016-10-06 04:08:26.814216 MITM_modification_BinaryInputPointDelete 192.168.10.221 192.168.10.222 END
2016-10-06 04:22:42.914520 master_flooding_time 192.168.10.221 192.168.10.222 START
2016-10-06 04:23:53.843595 master_flooding_time 192.168.10.221 192.168.10.222 END
2016-10-06 04:50:47.943859 slave_masquerading_ObjectSpoofBinary 192.168.10.221 192.168.10.222 START
2016-10-06 04:51:24.203173 slave_masquerading_ObjectSpoofBinary 192.168.10.221 192.168.10.222 END
2016-10-06 05:18:06.279650 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 START
2016-10-06 05:19:19.566990 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 END
2016-10-06 05:39:51.571097 master_hijacking_replay 192.168.10.221 192.168.10.222 START
2016-10-06 05:41:06.272965 master_hijacking_replay 192.168.10.221 192.168.10.222 END
