2016-08-12 11:23:00.895547 nmap START
2016-08-12 11:23:03.596844 nmap END
2016-08-12 11:23:13.732743 reconnaissance 192.168.10.222 START
2016-08-12 11:23:17.902704 reconnaissance 192.168.10.222 END
2016-08-12 14:06:51.024280 injection_push 192.168.10.222 192.168.10.221 START
2016-08-12 14:07:12.936404 injection_push 192.168.10.222 192.168.10.221 END
2016-08-12 15:30:47.036622 injection_WarmRestart 192.168.10.222 192.168.10.221 START
2016-08-12 15:32:06.669062 injection_WarmRestart 192.168.10.222 192.168.10.221 END
2016-08-12 18:31:32.751184 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-12 18:32:03.227663 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-12 20:39:24.331977 injection_replay 192.168.10.222 192.168.10.221 START
2016-08-12 20:39:28.732729 injection_replay 192.168.10.222 192.168.10.221 END
2016-08-12 23:15:33.835501 injection_replay 192.168.10.222 192.168.10.221 START
2016-08-12 23:15:38.168265 injection_replay 192.168.10.222 192.168.10.221 END
2016-08-13 01:29:20.274289 injection_WarmRestart 192.168.10.222 192.168.10.221 START
2016-08-13 01:30:36.580623 injection_WarmRestart 192.168.10.222 192.168.10.221 END
2016-08-13 02:48:51.698058 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-13 02:49:19.691663 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-13 05:08:45.821840 injection_WarmRestart 192.168.10.222 192.168.10.221 START
2016-08-13 05:10:05.775638 injection_WarmRestart 192.168.10.222 192.168.10.221 END
2016-08-13 07:08:25.905828 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-13 07:08:42.355654 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-13 10:11:38.008652 nmap START
2016-08-13 10:11:40.819619 nmap END
2016-08-13 10:11:51.087343 reconnaissance 192.168.10.222 START
2016-08-13 10:11:55.173674 reconnaissance 192.168.10.222 END
2016-08-13 10:25:23.407854 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-08-13 10:25:47.071725 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-08-13 10:51:02.189051 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-13 10:51:29.831652 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-13 11:12:14.866716 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-08-13 11:12:21.079896 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-08-13 11:34:50.179592 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-13 11:35:15.698659 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-13 12:04:05.795557 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-13 12:04:34.559723 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-13 12:15:26.578921 injection_replay 192.168.10.222 192.168.10.221 START
2016-08-13 12:15:30.899977 injection_replay 192.168.10.222 192.168.10.221 END
2016-08-13 12:40:20.011565 injection_FreezeObj 192.168.10.222 192.168.10.221 START
2016-08-13 12:40:41.103751 injection_FreezeObj 192.168.10.222 192.168.10.221 END
2016-08-13 13:03:31.206974 injection_WarmRestart 192.168.10.222 192.168.10.221 START
2016-08-13 13:04:42.523609 injection_WarmRestart 192.168.10.222 192.168.10.221 END
2016-08-13 13:27:59.712741 injection_ColdRestart 192.168.10.222 192.168.10.221 START
