2016-09-22 18:13:44.774769 nmap START
2016-09-22 18:13:47.281523 nmap END
2016-09-22 18:13:57.295545 reconnaissance 192.168.10.222 START
2016-09-22 18:14:01.409965 reconnaissance 192.168.10.222 END
2016-09-22 19:18:26.509490 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 START
2016-09-22 19:19:02.658381 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 END
2016-09-22 20:26:53.669256 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-09-22 20:27:48.619573 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
2016-09-22 23:25:37.701296 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-09-22 23:26:21.145381 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
2016-09-23 01:44:31.213385 MITM_hijack_injection 192.168.10.221 192.168.10.222 START
2016-09-23 01:45:48.337160 MITM_hijack_injection 192.168.10.221 192.168.10.222 END
2016-09-23 03:04:53.423867 MITM_modification_BinaryInputDataDelete 192.168.10.221 192.168.10.222 START
2016-09-23 03:05:47.650425 MITM_modification_BinaryInputDataDelete 192.168.10.221 192.168.10.222 END
2016-09-23 05:57:57.723781 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 START
2016-09-23 05:58:51.938568 MITM_modification_BinaryInputPointInsert 192.168.10.221 192.168.10.222 END
2016-09-23 08:07:12.029715 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-09-23 08:07:57.119273 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
2016-09-23 09:25:47.192473 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 START
2016-09-23 09:26:28.866518 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 END
2016-09-23 10:38:50.928745 MITM_modification_CounterStatus 192.168.10.221 192.168.10.222 START
2016-09-23 10:39:39.172745 MITM_modification_CounterStatus 192.168.10.221 192.168.10.222 END
2016-09-23 12:23:25.181962 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 START
2016-09-23 12:23:52.713654 MITM_modification_ImmedFreezeNR 192.168.10.221 192.168.10.222 END
2016-09-23 13:32:03.796396 MITM_forwarding 192.168.10.221 192.168.10.222 START
2016-09-23 13:32:59.297504 MITM_forwarding 192.168.10.221 192.168.10.222 END
2016-09-23 16:03:51.343860 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 START
2016-09-23 16:04:42.046683 MITM_modification_BinaryStatus 192.168.10.221 192.168.10.222 END
