2016-08-25 14:26:03.158749 nmap START
2016-08-25 14:26:05.887539 nmap END
2016-08-25 14:26:16.048800 reconnaissance 192.168.10.222 START
2016-08-25 14:26:20.219529 reconnaissance 192.168.10.222 END
2016-08-25 16:48:49.519397 slave_masquerading_flooding 192.168.10.222 192.168.10.221 START
2016-08-25 16:49:21.860812 slave_masquerading_flooding 192.168.10.222 192.168.10.221 END
2016-08-25 18:27:48.883541 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 START
2016-08-25 18:28:53.336796 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 END
2016-08-25 19:50:06.383560 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 START
2016-08-25 19:51:07.301674 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 END
2016-08-25 21:54:49.395840 slave_masquerading_ObjectSpoofBinary 192.168.10.222 192.168.10.221 START
2016-08-25 21:55:33.515559 slave_masquerading_ObjectSpoofBinary 192.168.10.222 192.168.10.221 END
2016-08-25 22:57:17.617953 master_hijacking_masquerading 192.168.10.222 192.168.10.221 START
2016-08-25 22:59:48.432685 master_hijacking_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 01:40:02.531592 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 01:41:04.053909 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 04:26:30.073361 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 04:27:30.659019 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 07:19:18.755146 master_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 07:20:26.363046 master_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 09:50:29.421266 master_hijacking_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 09:53:10.147669 master_hijacking_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 12:51:02.031315 nmap START
2016-08-26 12:51:04.842139 nmap END
2016-08-26 12:51:14.932882 reconnaissance 192.168.10.222 START
2016-08-26 12:51:19.063483 reconnaissance 192.168.10.222 END
2016-08-26 13:18:04.251572 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 13:18:48.872133 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 13:37:32.972626 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 START
2016-08-26 13:38:12.323269 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 END
2016-08-26 13:57:12.397516 master_hijacking_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 13:59:48.431622 master_hijacking_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 14:14:05.523137 master_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 14:15:22.336399 master_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 14:42:44.438015 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 14:43:48.560141 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 15:10:58.635979 master_hijacking_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 15:13:28.383655 master_hijacking_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 15:37:06.522828 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 15:37:44.344921 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 15:57:43.460648 slave_masquerading_flooding 192.168.10.222 192.168.10.221 START
2016-08-26 15:58:13.457054 slave_masquerading_flooding 192.168.10.222 192.168.10.221 END
2016-08-26 16:19:56.623647 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 16:21:03.915824 slave_masquerading_ObjectSpoofBinaryFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 16:41:56.063671 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 START
2016-08-26 16:42:14.392303 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 END
2016-08-26 17:03:14.460748 slave_masquerading_ObjectSpoofBinary 192.168.10.222 192.168.10.221 START
2016-08-26 17:04:15.210721 slave_masquerading_ObjectSpoofBinary 192.168.10.222 192.168.10.221 END
2016-08-26 17:23:02.311561 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 17:23:19.788242 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 17:35:38.903560 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 START
2016-08-26 17:36:07.771936 slave_masquerading_ObjectSpoofCounterFuzz 192.168.10.222 192.168.10.221 END
2016-08-26 18:01:53.894561 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 START
2016-08-26 18:02:39.236761 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 END
2016-08-26 18:26:21.259587 slave_masquerading_ObjectSpoofBinary 192.168.10.222 192.168.10.221 START
2016-08-26 18:27:22.531054 slave_masquerading_ObjectSpoofBinary 192.168.10.222 192.168.10.221 END
2016-08-26 18:42:06.679545 master_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 18:43:14.201982 master_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 19:08:03.387553 master_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 19:09:19.861252 master_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 19:32:57.906141 slave_masquerading_flooding 192.168.10.222 192.168.10.221 START
2016-08-26 19:33:29.139964 slave_masquerading_flooding 192.168.10.222 192.168.10.221 END
2016-08-26 19:57:39.163612 master_hijacking_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 20:00:29.839862 master_hijacking_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 20:29:58.939988 master_masquerading 192.168.10.222 192.168.10.221 START
2016-08-26 20:31:15.312838 master_masquerading 192.168.10.222 192.168.10.221 END
2016-08-26 20:49:26.532983 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 START
2016-08-26 20:50:32.545933 slave_masquerading_ObjectSpoofCounter 192.168.10.222 192.168.10.221 END
2016-08-26 21:17:43.655540 slave_masquerading_flooding 192.168.10.222 192.168.10.221 START
2016-08-26 21:17:52.202610 slave_masquerading_flooding 192.168.10.222 192.168.10.221 END
