2016-07-27 18:21:16.334269 nmap START
2016-07-27 18:21:18.729032 nmap END
2016-07-27 18:21:28.762310 reconnaissance 192.168.10.222 START
2016-07-27 18:21:32.818729 reconnaissance 192.168.10.222 END
2016-07-27 20:51:25.018433 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-27 20:51:28.723626 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-27 23:24:44.140166 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-27 23:24:52.547688 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 00:42:55.354708 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 00:43:22.639670 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 02:40:11.792690 master_hijacking_replay 192.168.10.222 192.168.10.221 START
2016-07-28 02:41:27.071715 master_hijacking_replay 192.168.10.222 192.168.10.221 END
2016-07-28 05:01:38.661933 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-28 05:01:57.805972 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-28 06:36:47.628936 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-28 06:37:06.780317 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-28 08:49:10.922772 master_hijacking_replay 192.168.10.222 192.168.10.221 START
2016-07-28 08:50:28.878011 master_hijacking_replay 192.168.10.222 192.168.10.221 END
2016-07-28 11:48:44.838316 master_hijacking_replay 192.168.10.222 192.168.10.221 START
2016-07-28 11:50:03.506826 master_hijacking_replay 192.168.10.222 192.168.10.221 END
2016-07-28 14:03:56.752217 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 14:04:01.047730 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 15:53:03.782915 nmap START
2016-07-28 15:53:06.320599 nmap END
2016-07-28 15:53:16.369258 reconnaissance 192.168.10.222 START
2016-07-28 15:53:20.411669 reconnaissance 192.168.10.222 END
2016-07-28 16:21:52.175672 master_replay 192.168.10.222 192.168.10.221 START
2016-07-28 16:22:42.121704 master_replay 192.168.10.222 192.168.10.221 END
2016-07-28 16:35:49.930916 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 16:35:57.975843 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 16:57:30.304301 master_replay 192.168.10.222 192.168.10.221 START
2016-07-28 16:58:20.192220 master_replay 192.168.10.222 192.168.10.221 END
2016-07-28 17:21:13.588786 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-28 17:21:32.777937 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-28 17:48:36.434157 master_replay 192.168.10.222 192.168.10.221 START
2016-07-28 17:49:26.336196 master_replay 192.168.10.222 192.168.10.221 END
2016-07-28 18:06:12.368072 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-28 18:06:31.489599 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-28 18:32:20.067875 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 18:32:31.559596 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 18:53:24.856149 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 18:54:26.945939 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 19:21:53.622131 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 19:21:57.923987 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 19:38:12.934053 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 19:38:21.563769 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 19:49:06.226918 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-28 19:49:27.793818 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-28 20:08:15.944012 master_replay 192.168.10.222 192.168.10.221 START
2016-07-28 20:09:05.919182 master_replay 192.168.10.222 192.168.10.221 END
2016-07-28 20:26:53.025890 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 20:26:57.407709 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 20:55:17.165623 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 20:55:21.503927 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 21:10:46.463246 master_replay 192.168.10.222 192.168.10.221 START
2016-07-28 21:11:36.358282 master_replay 192.168.10.222 192.168.10.221 END
2016-07-28 21:39:09.063285 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 21:39:14.415663 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 22:06:38.090967 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 22:06:43.679683 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 22:16:47.310033 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 22:16:51.591875 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 22:33:35.616305 master_replay 192.168.10.222 192.168.10.221 START
2016-07-28 22:34:25.531962 master_replay 192.168.10.222 192.168.10.221 END
2016-07-28 22:51:36.574919 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 22:51:40.934702 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 23:10:57.123946 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-28 23:11:04.856041 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-28 23:21:41.508690 injection_replay 192.168.10.222 192.168.10.221 START
2016-07-28 23:21:45.724581 injection_replay 192.168.10.222 192.168.10.221 END
2016-07-28 23:35:30.570009 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-28 23:35:49.688821 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-29 00:05:17.495526 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-29 00:05:36.620926 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-29 00:33:20.315253 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-29 00:33:39.428863 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-29 00:59:50.050333 master_replay_flooding 192.168.10.222 192.168.10.221 START
2016-07-29 01:00:09.323569 master_replay_flooding 192.168.10.222 192.168.10.221 END
2016-07-29 01:29:58.157955 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-29 01:30:05.403780 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-29 01:42:15.147651 master_replay 192.168.10.222 192.168.10.221 START
2016-07-29 01:43:05.084248 master_replay 192.168.10.222 192.168.10.221 END
2016-07-29 01:57:45.006581 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-29 01:57:54.571981 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-29 02:13:21.528656 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-29 02:13:25.143693 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-29 02:27:39.018013 master_replay 192.168.10.222 192.168.10.221 START
2016-07-29 02:28:28.907231 master_replay 192.168.10.222 192.168.10.221 END
2016-07-29 02:42:06.745399 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-29 02:42:14.879619 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-29 02:58:03.850062 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-29 02:58:14.663666 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-29 03:20:36.047370 injection_replay_updaterAck 192.168.10.222 192.168.10.221 START
2016-07-29 03:20:48.635652 injection_replay_updaterAck 192.168.10.222 192.168.10.221 END
2016-07-29 03:37:48.682498 master_replay 192.168.10.222 192.168.10.221 START
2016-07-29 03:38:38.564359 master_replay 192.168.10.222 192.168.10.221 END
2016-07-29 03:58:35.782862 master_hijacking_replay 192.168.10.222 192.168.10.221 START
